format	width	quality	size	dssim	filename
avif	320	10	3817	0.04630115	./quality-samples/sample3.jpg
avif	320	15	5237	0.03306793	./quality-samples/sample3.jpg
avif	320	20	7350	0.02280918	./quality-samples/sample3.jpg
avif	320	25	9315	0.01703856	./quality-samples/sample3.jpg
avif	320	30	11502	0.01325046	./quality-samples/sample3.jpg
avif	320	35	14267	0.00975991	./quality-samples/sample3.jpg
avif	320	40	17625	0.0074304	./quality-samples/sample3.jpg
avif	320	45	21593	0.00564976	./quality-samples/sample3.jpg
avif	320	50	25948	0.00445116	./quality-samples/sample3.jpg
avif	320	55	32476	0.00332543	./quality-samples/sample3.jpg
avif	320	60	38084	0.00272463	./quality-samples/sample3.jpg
avif	320	65	43131	0.00236279	./quality-samples/sample3.jpg
avif	320	70	47652	0.00211906	./quality-samples/sample3.jpg
avif	320	75	52893	0.00193136	./quality-samples/sample3.jpg
avif	320	80	59641	0.00179351	./quality-samples/sample3.jpg
avif	320	85	71472	0.00160641	./quality-samples/sample3.jpg
avif	320	90	85229	0.00152697	./quality-samples/sample3.jpg
avif	320	95	106625	0.00147323	./quality-samples/sample3.jpg
avif	320	100	134511	0.00145533	./quality-samples/sample3.jpg
webp	640	10	17398	0.01347267	./quality-samples/sample0.jpg
webp	640	15	20096	0.01033776	./quality-samples/sample0.jpg
webp	640	20	22690	0.00871433	./quality-samples/sample0.jpg
webp	640	25	25406	0.00749724	./quality-samples/sample0.jpg
webp	640	30	28492	0.00638546	./quality-samples/sample0.jpg
webp	640	35	31544	0.00578486	./quality-samples/sample0.jpg
webp	640	40	33616	0.00496582	./quality-samples/sample0.jpg
webp	640	45	35402	0.00466521	./quality-samples/sample0.jpg
webp	640	50	37684	0.00423249	./quality-samples/sample0.jpg
webp	640	55	39440	0.00387978	./quality-samples/sample0.jpg
webp	640	60	41370	0.00358706	./quality-samples/sample0.jpg
webp	640	65	42978	0.00337041	./quality-samples/sample0.jpg
webp	640	70	45544	0.00318068	./quality-samples/sample0.jpg
webp	640	75	48450	0.00289562	./quality-samples/sample0.jpg
webp	640	80	56458	0.00211259	./quality-samples/sample0.jpg
webp	640	85	65198	0.00184399	./quality-samples/sample0.jpg
webp	640	90	79106	0.00126907	./quality-samples/sample0.jpg
webp	640	95	99822	0.00097753	./quality-samples/sample0.jpg
webp	640	100	132822	0.0008134	./quality-samples/sample0.jpg
jpeg	640	10	12788	0.02807816	./quality-samples/sample0.jpg
jpeg	640	15	17443	0.0181339	./quality-samples/sample0.jpg
jpeg	640	20	21354	0.01341518	./quality-samples/sample0.jpg
jpeg	640	25	25123	0.01061711	./quality-samples/sample0.jpg
jpeg	640	30	28542	0.0088446	./quality-samples/sample0.jpg
jpeg	640	35	31636	0.00770326	./quality-samples/sample0.jpg
jpeg	640	40	34216	0.00684066	./quality-samples/sample0.jpg
jpeg	640	45	37004	0.00607614	./quality-samples/sample0.jpg
jpeg	640	50	39487	0.00550921	./quality-samples/sample0.jpg
jpeg	640	55	42077	0.0049796	./quality-samples/sample0.jpg
jpeg	640	60	45202	0.00449138	./quality-samples/sample0.jpg
jpeg	640	65	49090	0.00392312	./quality-samples/sample0.jpg
jpeg	640	70	53700	0.0033982	./quality-samples/sample0.jpg
jpeg	640	75	58984	0.00289463	./quality-samples/sample0.jpg
jpeg	640	80	66928	0.00230395	./quality-samples/sample0.jpg
jpeg	640	85	77818	0.00174454	./quality-samples/sample0.jpg
jpeg	640	90	95461	0.00120675	./quality-samples/sample0.jpg
jpeg	640	95	129800	0.00082426	./quality-samples/sample0.jpg
jpeg	640	100	229091	0.00066624	./quality-samples/sample0.jpg
avif	640	10	6380	0.03354243	./quality-samples/sample0.jpg
avif	640	15	8724	0.02312712	./quality-samples/sample0.jpg
avif	640	20	12238	0.01520267	./quality-samples/sample0.jpg
avif	640	25	15259	0.01102232	./quality-samples/sample0.jpg
avif	640	30	18592	0.00829467	./quality-samples/sample0.jpg
avif	640	35	22058	0.00641501	./quality-samples/sample0.jpg
avif	640	40	26046	0.00497495	./quality-samples/sample0.jpg
avif	640	45	30525	0.00387336	./quality-samples/sample0.jpg
avif	640	50	35271	0.00320211	./quality-samples/sample0.jpg
avif	640	55	42361	0.00251145	./quality-samples/sample0.jpg
avif	640	60	48207	0.00210463	./quality-samples/sample0.jpg
avif	640	65	53443	0.0018627	./quality-samples/sample0.jpg
avif	640	70	58279	0.00169851	./quality-samples/sample0.jpg
avif	640	75	63826	0.00155809	./quality-samples/sample0.jpg
avif	640	80	70903	0.00141408	./quality-samples/sample0.jpg
avif	640	85	84258	0.001242	./quality-samples/sample0.jpg
avif	640	90	100891	0.00112907	./quality-samples/sample0.jpg
avif	640	95	131015	0.00107608	./quality-samples/sample0.jpg
avif	640	100	175319	0.00108673	./quality-samples/sample0.jpg
webp	640	10	30646	0.01732102	./quality-samples/sample1.jpg
webp	640	15	35572	0.01429169	./quality-samples/sample1.jpg
webp	640	20	41290	0.01187744	./quality-samples/sample1.jpg
webp	640	25	47020	0.00986747	./quality-samples/sample1.jpg
webp	640	30	54570	0.00820659	./quality-samples/sample1.jpg
webp	640	35	58436	0.00663139	./quality-samples/sample1.jpg
webp	640	40	62386	0.00601368	./quality-samples/sample1.jpg
webp	640	45	67786	0.00522054	./quality-samples/sample1.jpg
webp	640	50	72216	0.00506601	./quality-samples/sample1.jpg
webp	640	55	77460	0.00451744	./quality-samples/sample1.jpg
webp	640	60	82214	0.00404117	./quality-samples/sample1.jpg
webp	640	65	88552	0.00326596	./quality-samples/sample1.jpg
webp	640	70	92996	0.00296653	./quality-samples/sample1.jpg
webp	640	75	101646	0.00255433	./quality-samples/sample1.jpg
webp	640	80	123138	0.00188257	./quality-samples/sample1.jpg
webp	640	85	156290	0.00122338	./quality-samples/sample1.jpg
webp	640	90	201562	0.00074236	./quality-samples/sample1.jpg
webp	640	95	281402	0.00039239	./quality-samples/sample1.jpg
webp	640	100	384920	0.00023122	./quality-samples/sample1.jpg
jpeg	640	10	26527	0.02819987	./quality-samples/sample1.jpg
jpeg	640	15	37556	0.01669554	./quality-samples/sample1.jpg
jpeg	640	20	47012	0.01160037	./quality-samples/sample1.jpg
jpeg	640	25	55434	0.00871275	./quality-samples/sample1.jpg
jpeg	640	30	63259	0.00692082	./quality-samples/sample1.jpg
jpeg	640	35	70564	0.00581258	./quality-samples/sample1.jpg
jpeg	640	40	76504	0.00500268	./quality-samples/sample1.jpg
jpeg	640	45	83080	0.00436096	./quality-samples/sample1.jpg
jpeg	640	50	88664	0.00386981	./quality-samples/sample1.jpg
jpeg	640	55	94496	0.00343511	./quality-samples/sample1.jpg
jpeg	640	60	101486	0.0030592	./quality-samples/sample1.jpg
jpeg	640	65	110118	0.00264617	./quality-samples/sample1.jpg
jpeg	640	70	120467	0.00224116	./quality-samples/sample1.jpg
jpeg	640	75	132695	0.00187804	./quality-samples/sample1.jpg
jpeg	640	80	151796	0.00147662	./quality-samples/sample1.jpg
jpeg	640	85	178109	0.00109601	./quality-samples/sample1.jpg
jpeg	640	90	222850	0.00071375	./quality-samples/sample1.jpg
jpeg	640	95	319414	0.00035687	./quality-samples/sample1.jpg
jpeg	640	100	585068	0.00013379	./quality-samples/sample1.jpg
avif	640	10	9288	0.04445689	./quality-samples/sample1.jpg
avif	640	15	12522	0.03296798	./quality-samples/sample1.jpg
avif	640	20	17502	0.02295222	./quality-samples/sample1.jpg
avif	640	25	21994	0.01746867	./quality-samples/sample1.jpg
avif	640	30	27704	0.01313171	./quality-samples/sample1.jpg
avif	640	35	34432	0.00990499	./quality-samples/sample1.jpg
avif	640	40	42773	0.00726331	./quality-samples/sample1.jpg
avif	640	45	52750	0.00546733	./quality-samples/sample1.jpg
avif	640	50	64098	0.00405254	./quality-samples/sample1.jpg
avif	640	55	82149	0.00279425	./quality-samples/sample1.jpg
avif	640	60	98863	0.00211414	./quality-samples/sample1.jpg
avif	640	65	114864	0.00168499	./quality-samples/sample1.jpg
avif	640	70	130328	0.00141238	./quality-samples/sample1.jpg
avif	640	75	149073	0.00116127	./quality-samples/sample1.jpg
avif	640	80	174778	0.00093655	./quality-samples/sample1.jpg
avif	640	85	223976	0.00069136	./quality-samples/sample1.jpg
avif	640	90	283153	0.00054162	./quality-samples/sample1.jpg
avif	640	95	371138	0.00045833	./quality-samples/sample1.jpg
avif	640	100	479972	0.00041983	./quality-samples/sample1.jpg
webp	640	10	9374	0.01618566	./quality-samples/sample2.jpg
webp	640	15	10798	0.01360713	./quality-samples/sample2.jpg
webp	640	20	12076	0.0121944	./quality-samples/sample2.jpg
webp	640	25	13750	0.01049604	./quality-samples/sample2.jpg
webp	640	30	15336	0.0093465	./quality-samples/sample2.jpg
webp	640	35	16802	0.00847237	./quality-samples/sample2.jpg
webp	640	40	18456	0.00727792	./quality-samples/sample2.jpg
webp	640	45	20326	0.00661031	./quality-samples/sample2.jpg
webp	640	50	21686	0.0062227	./quality-samples/sample2.jpg
webp	640	55	23162	0.00571286	./quality-samples/sample2.jpg
webp	640	60	24662	0.00500538	./quality-samples/sample2.jpg
webp	640	65	26136	0.00471634	./quality-samples/sample2.jpg
webp	640	70	28324	0.00420804	./quality-samples/sample2.jpg
webp	640	75	30360	0.00405459	./quality-samples/sample2.jpg
webp	640	80	38268	0.00299585	./quality-samples/sample2.jpg
webp	640	85	49682	0.00150441	./quality-samples/sample2.jpg
webp	640	90	67150	0.0010095	./quality-samples/sample2.jpg
webp	640	95	111264	0.00054148	./quality-samples/sample2.jpg
webp	640	100	166180	0.00036402	./quality-samples/sample2.jpg
jpeg	640	10	11551	0.02611347	./quality-samples/sample2.jpg
jpeg	640	15	16012	0.01640244	./quality-samples/sample2.jpg
jpeg	640	20	19811	0.01176206	./quality-samples/sample2.jpg
jpeg	640	25	23392	0.00878181	./quality-samples/sample2.jpg
jpeg	640	30	26586	0.00671476	./quality-samples/sample2.jpg
jpeg	640	35	29554	0.00534123	./quality-samples/sample2.jpg
jpeg	640	40	32038	0.00457385	./quality-samples/sample2.jpg
jpeg	640	45	34864	0.00386779	./quality-samples/sample2.jpg
jpeg	640	50	37360	0.00339794	./quality-samples/sample2.jpg
jpeg	640	55	39885	0.00303877	./quality-samples/sample2.jpg
jpeg	640	60	43200	0.00270251	./quality-samples/sample2.jpg
jpeg	640	65	47270	0.00232232	./quality-samples/sample2.jpg
jpeg	640	70	52195	0.00195138	./quality-samples/sample2.jpg
jpeg	640	75	57906	0.00157077	./quality-samples/sample2.jpg
jpeg	640	80	67059	0.00125285	./quality-samples/sample2.jpg
jpeg	640	85	80394	0.00092572	./quality-samples/sample2.jpg
jpeg	640	90	104098	0.00059353	./quality-samples/sample2.jpg
jpeg	640	95	156412	0.00031422	./quality-samples/sample2.jpg
jpeg	640	100	356152	0.00012082	./quality-samples/sample2.jpg
avif	640	10	2662	0.02538579	./quality-samples/sample2.jpg
avif	640	15	3366	0.01983433	./quality-samples/sample2.jpg
avif	640	20	4493	0.01488893	./quality-samples/sample2.jpg
avif	640	25	5415	0.01213618	./quality-samples/sample2.jpg
avif	640	30	6774	0.00952221	./quality-samples/sample2.jpg
avif	640	35	8165	0.00766806	./quality-samples/sample2.jpg
avif	640	40	10224	0.00602539	./quality-samples/sample2.jpg
avif	640	45	12357	0.00471571	./quality-samples/sample2.jpg
avif	640	50	15062	0.00368942	./quality-samples/sample2.jpg
avif	640	55	19280	0.00271893	./quality-samples/sample2.jpg
avif	640	60	23197	0.00216709	./quality-samples/sample2.jpg
avif	640	65	27037	0.00178924	./quality-samples/sample2.jpg
avif	640	70	30733	0.00154042	./quality-samples/sample2.jpg
avif	640	75	35268	0.00131664	./quality-samples/sample2.jpg
avif	640	80	41722	0.0010749	./quality-samples/sample2.jpg
avif	640	85	56295	0.00078967	./quality-samples/sample2.jpg
avif	640	90	79054	0.00056952	./quality-samples/sample2.jpg
avif	640	95	129767	0.00038981	./quality-samples/sample2.jpg
avif	640	100	228265	0.00030695	./quality-samples/sample2.jpg
webp	640	10	33462	0.01985393	./quality-samples/sample3.jpg
webp	640	15	39238	0.01622811	./quality-samples/sample3.jpg
webp	640	20	44830	0.01375419	./quality-samples/sample3.jpg
webp	640	25	50708	0.01156912	./quality-samples/sample3.jpg
webp	640	30	56672	0.0101413	./quality-samples/sample3.jpg
webp	640	35	62704	0.00869582	./quality-samples/sample3.jpg
webp	640	40	66964	0.00782947	./quality-samples/sample3.jpg
webp	640	45	70688	0.00719566	./quality-samples/sample3.jpg
webp	640	50	76590	0.0059808	./quality-samples/sample3.jpg
webp	640	55	79930	0.00563661	./quality-samples/sample3.jpg
webp	640	60	85078	0.00504596	./quality-samples/sample3.jpg
webp	640	65	91616	0.00441984	./quality-samples/sample3.jpg
webp	640	70	96032	0.00441217	./quality-samples/sample3.jpg
webp	640	75	103988	0.00384494	./quality-samples/sample3.jpg
webp	640	80	123058	0.00254759	./quality-samples/sample3.jpg
webp	640	85	148018	0.00167975	./quality-samples/sample3.jpg
webp	640	90	194864	0.00101984	./quality-samples/sample3.jpg
webp	640	95	254974	0.00068148	./quality-samples/sample3.jpg
webp	640	100	343472	0.00046796	./quality-samples/sample3.jpg
jpeg	640	10	28462	0.03018303	./quality-samples/sample3.jpg
jpeg	640	15	39432	0.01841874	./quality-samples/sample3.jpg
jpeg	640	20	49039	0.01326933	./quality-samples/sample3.jpg
jpeg	640	25	57616	0.0102554	./quality-samples/sample3.jpg
jpeg	640	30	65349	0.00833581	./quality-samples/sample3.jpg
jpeg	640	35	72619	0.00708511	./quality-samples/sample3.jpg
jpeg	640	40	78522	0.00617938	./quality-samples/sample3.jpg
jpeg	640	45	84862	0.00544385	./quality-samples/sample3.jpg
jpeg	640	50	90501	0.0049276	./quality-samples/sample3.jpg
jpeg	640	55	96298	0.00442663	./quality-samples/sample3.jpg
jpeg	640	60	103489	0.00395138	./quality-samples/sample3.jpg
jpeg	640	65	112311	0.00344863	./quality-samples/sample3.jpg
jpeg	640	70	123162	0.00299484	./quality-samples/sample3.jpg
jpeg	640	75	135334	0.00252863	./quality-samples/sample3.jpg
jpeg	640	80	154518	0.00201119	./quality-samples/sample3.jpg
jpeg	640	85	180914	0.00151417	./quality-samples/sample3.jpg
jpeg	640	90	225006	0.00101943	./quality-samples/sample3.jpg
jpeg	640	95	315449	0.00056544	./quality-samples/sample3.jpg
jpeg	640	100	581591	0.00032195	./quality-samples/sample3.jpg
avif	640	10	10359	0.04371331	./quality-samples/sample3.jpg
avif	640	15	13871	0.03211841	./quality-samples/sample3.jpg
avif	640	20	19154	0.02272321	./quality-samples/sample3.jpg
avif	640	25	23991	0.0172376	./quality-samples/sample3.jpg
avif	640	30	29734	0.01326314	./quality-samples/sample3.jpg
avif	640	35	36516	0.01017594	./quality-samples/sample3.jpg
avif	640	40	44997	0.0077798	./quality-samples/sample3.jpg
avif	640	45	55162	0.00598371	./quality-samples/sample3.jpg
avif	640	50	66506	0.00464434	./quality-samples/sample3.jpg
avif	640	55	84272	0.00345736	./quality-samples/sample3.jpg
avif	640	60	100051	0.00277457	./quality-samples/sample3.jpg
avif	640	65	114618	0.00237779	./quality-samples/sample3.jpg
avif	640	70	128338	0.00209316	./quality-samples/sample3.jpg
avif	640	75	143938	0.00186666	./quality-samples/sample3.jpg
avif	640	80	165393	0.00165802	./quality-samples/sample3.jpg
avif	640	85	205448	0.00143408	./quality-samples/sample3.jpg
avif	640	90	254971	0.00130164	./quality-samples/sample3.jpg
avif	640	95	337439	0.00123623	./quality-samples/sample3.jpg
avif	640	100	447318	0.00120568	./quality-samples/sample3.jpg
webp	1280	10	55382	0.0120401	./quality-samples/sample0.jpg
webp	1280	15	62508	0.01011332	./quality-samples/sample0.jpg
webp	1280	20	69752	0.0086861	./quality-samples/sample0.jpg
webp	1280	25	77332	0.00756181	./quality-samples/sample0.jpg
webp	1280	30	84662	0.00668827	./quality-samples/sample0.jpg
webp	1280	35	93998	0.00591697	./quality-samples/sample0.jpg
webp	1280	40	102722	0.00477965	./quality-samples/sample0.jpg
webp	1280	45	107526	0.00443614	./quality-samples/sample0.jpg
webp	1280	50	114110	0.00401898	./quality-samples/sample0.jpg
webp	1280	55	119840	0.00371745	./quality-samples/sample0.jpg
webp	1280	60	124636	0.00346666	./quality-samples/sample0.jpg
webp	1280	65	131484	0.00328519	./quality-samples/sample0.jpg
webp	1280	70	138334	0.00301634	./quality-samples/sample0.jpg
webp	1280	75	146826	0.00271656	./quality-samples/sample0.jpg
webp	1280	80	169900	0.00220774	./quality-samples/sample0.jpg
webp	1280	85	201216	0.00163363	./quality-samples/sample0.jpg
webp	1280	90	244962	0.0012191	./quality-samples/sample0.jpg
webp	1280	95	328300	0.00090586	./quality-samples/sample0.jpg
webp	1280	100	456204	0.00071672	./quality-samples/sample0.jpg
jpeg	1280	10	46123	0.02780824	./quality-samples/sample0.jpg
jpeg	1280	15	61725	0.01729697	./quality-samples/sample0.jpg
jpeg	1280	20	74942	0.01254232	./quality-samples/sample0.jpg
jpeg	1280	25	86971	0.00973468	./quality-samples/sample0.jpg
jpeg	1280	30	97952	0.00797903	./quality-samples/sample0.jpg
jpeg	1280	35	108236	0.00677103	./quality-samples/sample0.jpg
jpeg	1280	40	116581	0.00597283	./quality-samples/sample0.jpg
jpeg	1280	45	125784	0.00525464	./quality-samples/sample0.jpg
jpeg	1280	50	133723	0.00472058	./quality-samples/sample0.jpg
jpeg	1280	55	142032	0.00424616	./quality-samples/sample0.jpg
jpeg	1280	60	152031	0.0038248	./quality-samples/sample0.jpg
jpeg	1280	65	164426	0.00333713	./quality-samples/sample0.jpg
jpeg	1280	70	179391	0.00287861	./quality-samples/sample0.jpg
jpeg	1280	75	196629	0.00243262	./quality-samples/sample0.jpg
jpeg	1280	80	223074	0.00194085	./quality-samples/sample0.jpg
jpeg	1280	85	259090	0.00148306	./quality-samples/sample0.jpg
jpeg	1280	90	319389	0.00105033	./quality-samples/sample0.jpg
jpeg	1280	95	441439	0.00070536	./quality-samples/sample0.jpg
jpeg	1280	100	829633	0.00054125	./quality-samples/sample0.jpg
avif	1280	10	21616	0.03014725	./quality-samples/sample0.jpg
avif	1280	15	28642	0.02074277	./quality-samples/sample0.jpg
avif	1280	20	38373	0.01371416	./quality-samples/sample0.jpg
avif	1280	25	46367	0.01021675	./quality-samples/sample0.jpg
avif	1280	30	55458	0.00773717	./quality-samples/sample0.jpg
avif	1280	35	65010	0.006018	./quality-samples/sample0.jpg
avif	1280	40	76333	0.00472171	./quality-samples/sample0.jpg
avif	1280	45	88809	0.0037868	./quality-samples/sample0.jpg
avif	1280	50	102880	0.00311597	./quality-samples/sample0.jpg
avif	1280	55	124013	0.00244413	./quality-samples/sample0.jpg
avif	1280	60	142022	0.00209673	./quality-samples/sample0.jpg
avif	1280	65	158807	0.00183802	./quality-samples/sample0.jpg
avif	1280	70	174111	0.00165038	./quality-samples/sample0.jpg
avif	1280	75	192271	0.00148588	./quality-samples/sample0.jpg
avif	1280	80	216659	0.00130827	./quality-samples/sample0.jpg
avif	1280	85	263894	0.00109258	./quality-samples/sample0.jpg
avif	1280	90	327437	0.00094448	./quality-samples/sample0.jpg
avif	1280	95	447684	0.00084559	./quality-samples/sample0.jpg
avif	1280	100	620566	0.00084155	./quality-samples/sample0.jpg
webp	1280	10	85368	0.01742448	./quality-samples/sample1.jpg
webp	1280	15	99470	0.01401914	./quality-samples/sample1.jpg
webp	1280	20	113524	0.01174108	./quality-samples/sample1.jpg
webp	1280	25	127820	0.00987926	./quality-samples/sample1.jpg
webp	1280	30	148292	0.00823506	./quality-samples/sample1.jpg
webp	1280	35	158526	0.00752464	./quality-samples/sample1.jpg
webp	1280	40	168900	0.00703476	./quality-samples/sample1.jpg
webp	1280	45	183660	0.00623556	./quality-samples/sample1.jpg
webp	1280	50	196300	0.0057368	./quality-samples/sample1.jpg
webp	1280	55	210288	0.0050915	./quality-samples/sample1.jpg
webp	1280	60	223798	0.00467917	./quality-samples/sample1.jpg
webp	1280	65	241360	0.00421957	./quality-samples/sample1.jpg
webp	1280	70	263440	0.00379061	./quality-samples/sample1.jpg
webp	1280	75	280286	0.00355307	./quality-samples/sample1.jpg
webp	1280	80	363784	0.00223355	./quality-samples/sample1.jpg
webp	1280	85	477048	0.00144605	./quality-samples/sample1.jpg
webp	1280	90	670058	0.00081513	./quality-samples/sample1.jpg
webp	1280	95	999098	0.00037905	./quality-samples/sample1.jpg
webp	1280	100	1341604	0.0002222	./quality-samples/sample1.jpg
jpeg	1280	10	81310	0.02875921	./quality-samples/sample1.jpg
jpeg	1280	15	113121	0.01722014	./quality-samples/sample1.jpg
jpeg	1280	20	141670	0.01182061	./quality-samples/sample1.jpg
jpeg	1280	25	169357	0.00872644	./quality-samples/sample1.jpg
jpeg	1280	30	193746	0.00692989	./quality-samples/sample1.jpg
jpeg	1280	35	217858	0.00572307	./quality-samples/sample1.jpg
jpeg	1280	40	237545	0.00493392	./quality-samples/sample1.jpg
jpeg	1280	45	260077	0.00428422	./quality-samples/sample1.jpg
jpeg	1280	50	279346	0.0037636	./quality-samples/sample1.jpg
jpeg	1280	55	299695	0.00335178	./quality-samples/sample1.jpg
jpeg	1280	60	323837	0.00297922	./quality-samples/sample1.jpg
jpeg	1280	65	354516	0.00254058	./quality-samples/sample1.jpg
jpeg	1280	70	391444	0.00214432	./quality-samples/sample1.jpg
jpeg	1280	75	432428	0.00179108	./quality-samples/sample1.jpg
jpeg	1280	80	496743	0.00141583	./quality-samples/sample1.jpg
jpeg	1280	85	587916	0.0010609	./quality-samples/sample1.jpg
jpeg	1280	90	746579	0.0007091	./quality-samples/sample1.jpg
jpeg	1280	95	1103170	0.00035836	./quality-samples/sample1.jpg
jpeg	1280	100	2106284	0.00010285	./quality-samples/sample1.jpg
avif	1280	10	24054	0.04171538	./quality-samples/sample1.jpg
avif	1280	15	31657	0.03160614	./quality-samples/sample1.jpg
avif	1280	20	43757	0.0219596	./quality-samples/sample1.jpg
avif	1280	25	54537	0.01696778	./quality-samples/sample1.jpg
avif	1280	30	67834	0.01296624	./quality-samples/sample1.jpg
avif	1280	35	83622	0.01001511	./quality-samples/sample1.jpg
avif	1280	40	103941	0.00771675	./quality-samples/sample1.jpg
avif	1280	45	128664	0.00597447	./quality-samples/sample1.jpg
avif	1280	50	156522	0.00467217	./quality-samples/sample1.jpg
avif	1280	55	205647	0.0033579	./quality-samples/sample1.jpg
avif	1280	60	253899	0.00260417	./quality-samples/sample1.jpg
avif	1280	65	306029	0.00209421	./quality-samples/sample1.jpg
avif	1280	70	359570	0.00168673	./quality-samples/sample1.jpg
avif	1280	75	428146	0.00134382	./quality-samples/sample1.jpg
avif	1280	80	527299	0.00103082	./quality-samples/sample1.jpg
avif	1280	85	720643	0.00067752	./quality-samples/sample1.jpg
avif	1280	90	943160	0.00048682	./quality-samples/sample1.jpg
avif	1280	95	1271276	0.00038083	./quality-samples/sample1.jpg
avif	1280	100	1691913	0.00033585	./quality-samples/sample1.jpg
webp	1280	10	28084	0.01616256	./quality-samples/sample2.jpg
webp	1280	15	31702	0.01377463	./quality-samples/sample2.jpg
webp	1280	20	35880	0.01163167	./quality-samples/sample2.jpg
webp	1280	25	39482	0.00996816	./quality-samples/sample2.jpg
webp	1280	30	43156	0.00864348	./quality-samples/sample2.jpg
webp	1280	35	47316	0.00760318	./quality-samples/sample2.jpg
webp	1280	40	51746	0.00649784	./quality-samples/sample2.jpg
webp	1280	45	56592	0.00564974	./quality-samples/sample2.jpg
webp	1280	50	60518	0.00517333	./quality-samples/sample2.jpg
webp	1280	55	64608	0.00469616	./quality-samples/sample2.jpg
webp	1280	60	68632	0.00411603	./quality-samples/sample2.jpg
webp	1280	65	73202	0.00390874	./quality-samples/sample2.jpg
webp	1280	70	78654	0.00345948	./quality-samples/sample2.jpg
webp	1280	75	83838	0.00327766	./quality-samples/sample2.jpg
webp	1280	80	105744	0.00236563	./quality-samples/sample2.jpg
webp	1280	85	138172	0.00172879	./quality-samples/sample2.jpg
webp	1280	90	205582	0.00103104	./quality-samples/sample2.jpg
webp	1280	95	337392	0.00056063	./quality-samples/sample2.jpg
webp	1280	100	566224	0.00033082	./quality-samples/sample2.jpg
jpeg	1280	10	35840	0.02627786	./quality-samples/sample2.jpg
jpeg	1280	15	48006	0.01595672	./quality-samples/sample2.jpg
jpeg	1280	20	59096	0.01114031	./quality-samples/sample2.jpg
jpeg	1280	25	69892	0.00807448	./quality-samples/sample2.jpg
jpeg	1280	30	79069	0.00619736	./quality-samples/sample2.jpg
jpeg	1280	35	87984	0.00488818	./quality-samples/sample2.jpg
jpeg	1280	40	95584	0.0041449	./quality-samples/sample2.jpg
jpeg	1280	45	104240	0.00348733	./quality-samples/sample2.jpg
jpeg	1280	50	112064	0.00301734	./quality-samples/sample2.jpg
jpeg	1280	55	119982	0.00269218	./quality-samples/sample2.jpg
jpeg	1280	60	130533	0.00240139	./quality-samples/sample2.jpg
jpeg	1280	65	144297	0.00201091	./quality-samples/sample2.jpg
jpeg	1280	70	161593	0.00171635	./quality-samples/sample2.jpg
jpeg	1280	75	181420	0.00134379	./quality-samples/sample2.jpg
jpeg	1280	80	213370	0.00107028	./quality-samples/sample2.jpg
jpeg	1280	85	261868	0.00078663	./quality-samples/sample2.jpg
jpeg	1280	90	350688	0.00050198	./quality-samples/sample2.jpg
jpeg	1280	95	547309	0.00026097	./quality-samples/sample2.jpg
jpeg	1280	100	1249262	0.00007394	./quality-samples/sample2.jpg
avif	1280	10	6257	0.02287103	./quality-samples/sample2.jpg
avif	1280	15	7909	0.0180852	./quality-samples/sample2.jpg
avif	1280	20	10534	0.01331232	./quality-samples/sample2.jpg
avif	1280	25	12984	0.01072828	./quality-samples/sample2.jpg
avif	1280	30	15973	0.00843761	./quality-samples/sample2.jpg
avif	1280	35	19553	0.00674443	./quality-samples/sample2.jpg
avif	1280	40	23841	0.00546197	./quality-samples/sample2.jpg
avif	1280	45	29248	0.00435319	./quality-samples/sample2.jpg
avif	1280	50	35255	0.0035453	./quality-samples/sample2.jpg
avif	1280	55	45100	0.00270441	./quality-samples/sample2.jpg
avif	1280	60	54436	0.00225259	./quality-samples/sample2.jpg
avif	1280	65	64469	0.00190428	./quality-samples/sample2.jpg
avif	1280	70	74610	0.00164584	./quality-samples/sample2.jpg
avif	1280	75	88232	0.00140594	./quality-samples/sample2.jpg
avif	1280	80	108592	0.00114531	./quality-samples/sample2.jpg
avif	1280	85	160457	0.00079173	./quality-samples/sample2.jpg
avif	1280	90	256700	0.00050571	./quality-samples/sample2.jpg
avif	1280	95	466044	0.00027951	./quality-samples/sample2.jpg
avif	1280	100	796295	0.00017949	./quality-samples/sample2.jpg
webp	1280	10	95530	0.01945048	./quality-samples/sample3.jpg
webp	1280	15	110164	0.01600812	./quality-samples/sample3.jpg
webp	1280	20	123404	0.01358164	./quality-samples/sample3.jpg
webp	1280	25	138642	0.01166843	./quality-samples/sample3.jpg
webp	1280	30	155572	0.01008299	./quality-samples/sample3.jpg
webp	1280	35	173468	0.00869214	./quality-samples/sample3.jpg
webp	1280	40	184734	0.00795202	./quality-samples/sample3.jpg
webp	1280	45	194632	0.00746639	./quality-samples/sample3.jpg
webp	1280	50	207418	0.00679761	./quality-samples/sample3.jpg
webp	1280	55	219724	0.00627304	./quality-samples/sample3.jpg
webp	1280	60	233352	0.00578529	./quality-samples/sample3.jpg
webp	1280	65	250680	0.00524029	./quality-samples/sample3.jpg
webp	1280	70	271416	0.00466957	./quality-samples/sample3.jpg
webp	1280	75	283426	0.00420624	./quality-samples/sample3.jpg
webp	1280	80	347536	0.00270237	./quality-samples/sample3.jpg
webp	1280	85	422128	0.00187078	./quality-samples/sample3.jpg
webp	1280	90	554734	0.00112217	./quality-samples/sample3.jpg
webp	1280	95	825082	0.00060208	./quality-samples/sample3.jpg
